Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
235,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,13579
236,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,24680
237,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,73205
238,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,10939
239,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,84752
240,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,62700
241,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,42
242,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,101
243,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,2025
244,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,6789
245,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,13579
246,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,24680
247,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,73205
248,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,10939
249,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,84752
250,CTRL,Scenario0,148,2,150,High,-,-,-,-,-,-,62700
251,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,42
252,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,101
253,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,2025
254,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,6789
255,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,13579
256,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,24680
257,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,73205
258,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,10939
259,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,84752
260,CTRL,Scenario0,145,5,150,High,-,-,-,-,-,-,62700
261,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,42
262,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,101
263,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,2025
264,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,6789
265,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,13579
266,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,24680
267,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,73205
268,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,10939
269,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,84752
270,CTRL,Scenario0,142,8,150,High,-,-,-,-,-,-,62700
271,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,42
272,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,101
273,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,2025
274,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,6789
275,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,13579
276,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,24680
277,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,73205
278,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,10939
279,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,84752
280,CTRL,Scenario0,139,11,150,High,-,-,-,-,-,-,62700
281,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,42
282,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,101
283,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,2025
284,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,6789
285,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,13579
286,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,24680
287,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,73205
288,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,10939
289,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,84752
290,CTRL,Scenario0,135,15,150,High,-,-,-,-,-,-,62700
291,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,42
292,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,101
293,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,2025
294,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,6789
295,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,13579
296,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,24680
297,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,73205
298,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,10939
299,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,84752
300,CTRL,Scenario0,120,30,150,High,-,-,-,-,-,-,62700
301,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,42
302,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,101
303,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,2025
304,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,6789
305,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,13579
306,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,24680
307,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,73205
308,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,10939
309,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,84752
310,CTRL,Scenario0,148,2,150,Low,-,-,-,-,-,-,62700
