Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
167,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,73205
168,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,10939
169,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,84752
170,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,62700
171,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,42
172,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,101
173,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,2025
174,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,6789
175,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,13579
176,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,24680
177,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,73205
178,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,10939
179,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,84752
180,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,62700
181,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,42
182,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,101
183,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,2025
184,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,6789
185,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,13579
186,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,24680
187,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,73205
188,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,10939
189,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,84752
190,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,62700
191,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,42
192,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,101
193,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,2025
194,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,6789
195,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,13579
196,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,24680
197,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,73205
198,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,10939
199,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,84752
200,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,62700
201,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,42
202,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,101
203,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,2025
204,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,6789
205,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,13579
206,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,24680
207,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,73205
208,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,10939
209,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,84752
210,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,62700
211,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,42
212,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,101
213,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,2025
214,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,6789
215,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,13579
216,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,24680
